"","Centre_cat","theta_MAT","Level_MAT","theta_READ","Level_READ","Region","Age","Gender","Centre_type","Context","strat","E6F1","E6F2","E6F6a","E6F15","E6F16","E6F7","E6F8","E6F9","E6F10","E6F11","E6F12","E6F13","E6F14","E6F17","E6F18","E6F18a","E6F19a","E6F19","E6F20","E6F21","E6F3","E6F4","E6F5a","E6F22","E6F22a_5","E6F22a_1","E6F22a_2","E6F22a_3","E6F22a_4","E6F26a","E6F26","E6F25","E6F25a","E6F25a_1","E6F25a_3_1","E6F25a_3_2","E6F25a_3_3","E6F25a_3_4","E6F25a_3_5","E6CF25a_2_1","E6CF25a_2_2","E6CF25a_2_3","E6CF25a_2_4","E6CF25a_2_5","E6Co1","E6Co2_1","E6Co2_2","E6Co2_3","E6Co2_4","E6Co2_5","E6Co2_6","E6Co2_7","E6Co2_8","E6Co2_9","E6Co3","E6Co4","E6Co5","E6Co6_1","E6Co6_2","E6Co6_3","E6Co6_4","E6Co6_5","E6Co6_6","E6Co7_1","E6Co7_2","E6Co7_3","E6Co7_4","E6Co8_1","E6Co8_2","E6Co8_3","E6Co8_4","E6Co9_1","E6Co9_2","E6Co9_3","E6Co9_4","E6Co9_5","E6Co9_6","E6C47c_1","E6C47c_3","E6C47c_6","E6C47c_7","E6C47c_8","E6C47c_11","E6C47c_12","E6C47c_9","E6C47c_13","E6Co10_1","E6Co10_2","E6Co10_3","E6Co10_4","E6Co11","E6Co12_1","E6Co12_2","E6Co12_3","E6Co12_4","E6F34_1","E6F34_2","E6F34_3","E6F34_4","E6F34_5","E6F34_6","E6C36_1","E6C36_2","E6C36m_6","E6C36m_7","E6C36a_8","E6F37_1","E6F37_2","E6F37_3","E6C42a","E6C40m_1","E6C40m_2","E6C40m_3","E6C40m_4","E6C40m_5","E6C44m_1","E6C44m_2","E6C44m_3","E6C46a_2","E6C46m_1","E6C46a_3","E6C46m_4","E6C43a","E6C43","E6C48_1","E6C48_2","E6C48_3","E6C48_4","E6C48_5","E6C42_1","E6C42_2","E6C42_3","E6C42_4","E6C42_5","E6F32","E6F33","Attendance","ES1_1","ES1_2","ES1_3","ES1_4","ES1_5","ES1_6","ES3_1","ES3_2","ES3_3","ES3_4","ES3_5","ES2_1","ES2_2","ES2_3","ES2_4","ES4_1","ES4_2","ES4_3","ES4_4","ES4_5","ES5_1","ES5_2","ES5_3","ES5_4","ES5_5","ES6_1","ES6_2","ES6_3","ES6_4","ES6_5","ES6_6","ES7_1","ES7_2","ES7_3","ES7_4","ES7_5","ES8_1","ES8_2","ES8_3","ES8_4","ES8_5","ES8_6","BE1_1","BE1_2","BE1_3","BE1_4","BE1_5","BE1_6","BE1_7","BE1_8"
"1853","Q5",0.24817054573104,"3",0.882252483957356,"5","Montevideo",12,"F","UC","Urbano Quintil 5","3","2","3","2","5","1","1","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","96","5","1","3","2","1","1","3","1","2","3","1","0","0","1","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","1","1","1","2","1","2","1","2","1","2","2","1","2","2","4","3","3","1","2","4","1","2","1","2","2","1","1","1","2","2","2","1","2","3","3","2","3","2","2","1","2","2","3","2","3","2","2","2","3","2","3","3","3","2","2","2","2","2","1","1","1","1","1","1","1","4","4","3","1","1","1","3","3","3","3","3","4","3","4","3","4","1","96","regularly","4","3","2","3","4","4","4","3","2","3","3","2","4","1","1","1","1","1","1","1","4","4","4","3","4","2","3","4","2","3","1","3","1","2","1","2","3","1","2","1","2","1","3","2","1","4","2","3","1","2"
"1854","Q5",0.309848373040538,"3",-0.200207325036231,"3","Montevideo",12,"F","UC","Urbano Quintil 5","3","2","3","1","4","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","96","3","1","3","1","1","1","3","1","4","2","2","96","96","96","96","96","0","1","0","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","1","2","1","2","1","2","1","1","2","1","3","3","2","2","2","3","1","1","2","3","2","2","1","1","2","2","1","1","2","4","4","4","4","1","2","1","4","4","2","3","4","4","2","1","3","4","2","3","2","2","1","3","1","3","1","3","3","1","2","1","2","4","4","1","3","1","2","2","3","2","4","3","4","4","4","4","4","1","96","regularly","2","3","4","4","4","4","3","2","1","4","3","1","4","2","2","2","3","4","1","1","4","4","3","4","4","4","3","4","2","3","2","1","1","2","1","1","3","2","2","4","4","3","4","4","3","3","4","4","3","2"
"1855","Q5",0.562810327116622,"4",-0.165363604236761,"3","Montevideo",12,"M","UC","Urbano Quintil 5","3","1","3","1","3","1","1","1","2","2","2","2","2","2","1","1","1","2","1","1","4","1","1","96","4","1","3","4","2","1","3","1","1","2","2","96","96","96","96","96","0","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","2","2","1","2","2","1","1","1","2","1","1","1","1","1","1","2","1","1","3","1","3","2","2","2","1","2","2","2","2","2","4","4","4","3","2","2","1","1","1","2","3","2","2","3","2","3","4","3","3","1","2","2","4","2","2","1","2","1","1","1","3","3","1","4","1","1","2","96","2","3","2","3","2","3","3","3","1","1","1","96","regularly","3","1","4","3","4","4","3","2","1","4","4","2","2","2","1","1","1","1","2","1","4","4","4","4","4","3","1","2","2","3","2","3","4","1","3","2","2","3","4","2","1","1","1","4","4","4","1","3","2","4"
"1856","Q5",0.415568102011962,"3",0.280737642702302,"4","Montevideo",12,"M","UC","Urbano Quintil 5","3","1","3","1","3","2","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","96","5","1","4","1","2","1","1","2","96","96","96","96","96","96","96","96","96","96","96","96","96","1","0","0","0","0","1","0","0","0","1","1","1","1","2","1","2","2","1","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","2","2","2","1","1","1","1","2","1","1","1","1","2","4","4","4","4","3","4","4","3","1","2","4","4","4","1","1","2","4","1","1","1","2","4","2","4","2","2","2","96","1","4","1","1","1","4","3","4","4","2","1","96","regularly","1","1","2","1","4","2","2","1","3","1","1","3","4","1","4","1","2","1","3","2","4","3","4","2","4","4","4","1","1","4","3","1","4","1","1","1","4","1","1","1","3","1","3","1","4","4","4","1","4","4"
"1857","Q5",0.0745619539224738,"3",-0.937965539266602,"2","Montevideo",11,"F","UC","Urbano Quintil 5","3","2","2","2","5","3","1","2","2","2","1","1","1","1","1","1","2","2","1","1","1","1","1","96","6","4","3","4","1","1","1","1","1","1","2","96","96","96","96","96","1","0","0","0","0","2","96","96","96","96","96","96","96","96","96","1","1","2","1","1","2","1","1","2","1","1","2","2","3","2","2","3","4","3","3","4","3","4","2","1","1","1","2","2","2","2","2","4","4","4","4","1","4","4","3","4","3","3","4","3","3","3","4","3","4","4","3","4","4","4","1","3","1","2","1","1","2","4","4","1","3","1","1","1","1","3","4","1","3","2","4","4","4","3","4","1","96","regularly","3","2","4","2","2","3","4","3","3","1","4","3","1","3","2","2","3","1","1","1","4","2","4","4","3","4","4","3","4","4","3","1","4","3","4","4","3","1","1","1","1","1","4","4","4","4","4","4","4","4"
"1858","Q5",0.788118445667612,"4",-0.112499828621585,"4","Montevideo",12,"M","UC","Urbano Quintil 5","3","1","3","1","5","3","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","96","6","1","3","1","2","1","3","1","1","1","2","96","96","96","96","96","0","0","0","1","0","1","0","1","1","0","1","0","0","1","1","1","1","2","2","1","2","2","1","2","1","1","2","2","1","1","1","1","4","4","2","4","4","4","2","1","2","1","2","2","1","1","2","4","4","4","4","2","1","4","4","4","4","4","3","4","4","3","4","4","4","4","4","4","4","4","1","2","2","4","1","4","1","4","4","1","3","3","3","1","1","4","4","1","4","4","4","4","4","4","4","1","96","regularly","4","4","4","3","4","4","4","4","4","4","4","4","4","1","1","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","4","4","4","4","4","4","4","4"
"1860","Q5",0.404073384096798,"3",-0.222272600702991,"3","Montevideo",12,"M","UC","Urbano Quintil 5","3","1","3","2","3","2","1","1","2","2","1","2","2","1","2","2","1","1","1","2","3","1","2","3","6","1","3","1","1","1","3","1","1","3","2","96","96","96","96","96","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","2","2","1","2","3","4","2","2","1","2","2","2","2","2","2","2","2","2","3","1","1","1","4","1","2","2","1","2","2","2","3","3","4","3","1","3","2","3","2","1","2","2","1","2","1","1","1","4","3","1","1","1","1","2","2","1","4","1","2","1","1","2","2","1","96","regularly","3","4","1","4","3","4","4","2","4","4","3","2","3","2","2","2","1","1","3","1","4","4","4","4","4","3","3","2","1","2","4","4","1","1","1","1","4","3","3","2","3","2","2","1","1","3","1","2","4","1"
"1861","Q5",0.567707209054896,"4",-0.121854922826589,"4","Montevideo",11,"F","UC","Urbano Quintil 5","3","2","2","2","5","1","1","2","2","2","1","1","2","1","1","1","1","2","1","1","1","1","1","96","5","1","3","3","1","1","3","1","2","2","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","2","1","1","1","1","1","1","2","1","2","2","3","2","4","4","2","3","2","3","3","3","2","1","1","1","2","2","2","1","2","4","4","3","4","2","4","4","4","4","2","3","3","4","3","3","4","3","3","3","3","4","3","3","1","3","3","3","2","2","2","3","3","4","4","3","3","1","1","2","3","2","3","3","4","4","4","4","4","1","96","regularly","3","3","3","3","4","3","4","1","1","3","3","2","4","3","2","3","3","4","2","2","3","3","3","4","4","4","4","3","3","4","3","3","3","3","3","3","3","2","2","1","1","1","4","3","4","4","4","4","3","4"
"1862","Q5",0.600551607827332,"4",-0.570459966017693,"3","Montevideo",12,"M","UC","Urbano Quintil 5","3","1","3","1","4","2","1","1","2","2","2","2","2","1","1","2","1","1","1","1","4","1","1","96","6","1","4","1","2","4","2","1","1","1","2","96","96","96","96","96","0","0","0","0","1","2","96","96","96","96","96","96","96","96","96","1","1","2","1","1","2","2","1","2","1","1","1","2","1","1","1","1","4","2","1","3","3","2","2","2","1","1","2","2","2","2","2","2","2","2","4","1","1","2","4","1","2","3","4","4","2","2","4","4","4","4","2","2","4","4","2","2","2","2","1","2","2","2","4","3","3","1","2","1","1","2","4","2","1","2","3","2","4","1","1","1","96","regularly","2","3","4","4","4","4","4","3","4","4","4","1","4","2","1","1","1","1","2","1","4","4","3","4","4","4","4","3","3","3","1","1","4","1","1","1","2","1","2","3","2","1","4","3","4","4","4","3","3","4"
"1863","Q5",1.08785259597252,"4",1.75715954250642,"6","Montevideo",12,"F","UC","Urbano Quintil 5","3","2","3","2","5","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","2","1","96","5","1","3","1","1","1","4","1","4","4","2","96","96","96","96","96","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","1","2","2","2","2","1","2","1","1","1","2","3","1","1","2","3","4","1","4","4","4","2","2","2","1","2","2","2","1","2","3","2","2","4","2","4","4","4","4","4","4","3","4","4","3","4","3","3","4","3","4","4","4","2","1","1","4","2","1","4","4","4","4","4","3","4","2","96","3","3","2","2","3","4","4","3","4","4","1","96","regularly","4","4","4","4","4","4","4","4","3","4","4","2","4","1","1","1","1","1","1","1","3","3","4","3","4","4","4","4","4","4","4","2","3","1","4","3","1","1","2","1","2","1","3","2","3","3","3","3","4","4"
"1865","Q5",2.27615818357346,"5",2.97845547851526,"6","Montevideo",12,"M","UC","Urbano Quintil 5","3","1","3","1","4","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","1","1","96","5","1","3","4","4","1","3","1","1","3","2","96","96","96","96","96","0","0","1","1","0","1","0","0","1","0","1","0","0","1","1","1","1","2","2","2","2","2","1","2","1","1","2","2","3","2","3","4","2","4","3","3","4","3","2","2","1","1","2","2","2","1","2","4","3","3","4","1","4","4","4","4","3","2","3","3","3","2","4","3","3","3","4","3","3","3","2","2","2","3","1","2","2","4","4","1","4","1","1","2","96","3","2","2","4","3","4","3","4","4","3","1","96","regularly","3","4","2","4","3","3","3","2","4","2","3","4","3","3","1","1","2","1","3","1","3","4","4","3","3","3","4","2","4","2","4","3","2","4","2","3","2","4","3","2","2","2","3","3","4","3","4","3","4","4"
"1866","Q5",0.154002168741454,"3",-0.417880739861191,"3","Montevideo",11,"F","UC","Urbano Quintil 5","3","2","2","2","7","3","1","2","2","2","1","1","1","2","1","1","2","1","1","2","1","1","1","96","5","1","3","2","4","1","3","1","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","2","2","3","2","4","3","4","2","4","4","3","2","1","1","2","1","2","2","1","2","4","3","4","4","1","4","3","1","1","4","3","4","4","2","2","4","3","4","4","4","3","4","4","2","4","2","4","3","4","4","2","4","4","3","1","2","1","1","3","4","2","4","3","4","4","4","4","3","1","96","regularly","4","4","4","2","3","4","4","4","2","4","3","4","4","2","3","1","1","2","1","2","2","3","4","4","3","4","4","2","4","4","4","3","2","4","3","4","3","1","3","3","3","1","4","4","4","4","3","4","3","4"
"1867","Q3",0.720161804767639,"4",1.31554247639114,"5","Interior",12,"F","Aprender","Urbano Quintil 2","4","2","3","1","5","3","1","2","2","2","2","2","2","1","1","1","1","2","1","1","1","3","1","96","5","1","3","4","4","1","4","1","2","4","1","0","0","1","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","1","1","1","1","2","1","2","2","2","1","2","1","1","2","2","2","1","1","1","1","2","1","2","2","4","2","1","1","1","2","2","2","2","2","4","4","4","4","1","2","3","2","3","3","4","3","4","3","4","3","3","4","4","3","4","4","4","1","3","3","3","3","4","4","4","4","3","3","1","2","1","4","3","4","3","3","2","4","3","4","4","4","1","96","regularly","4","3","3","4","4","4","4","4","3","4","3","1","4","1","1","1","1","1","2","1","3","3","4","4","3","3","4","2","4","2","1","2","3","2","2","3","3","2","3","1","2","1","4","3","4","4","3","3","2","4"
"1868","Q3",-0.317409727619012,"3",-1.60857799275881,"2","Interior",13,"M","Aprender","Urbano Quintil 2","4","1","4","1","1","1","1","2","2","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","6","3","1","1","1","1","2","1","1","1","2","96","96","96","96","96","1","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","1","2","1","2","2","2","1","1","1","1","1","1","3","2","3","4","1","2","3","4","3","2","1","1","2","1","2","1","2","2","1","4","3","2","1","2","1","2","3","4","1","2","3","4","3","2","1","2","3","4","3","2","1","2","2","1","2","3","4","3","1","2","3","1","2","3","3","2","96","1","2","3","4","3","1","2","3","4","3","2","2","regularly","2","4","4","4","4","2","4","2","4","4","4","4","4","1","1","1","1","1","2","2","4","4","3","2","2","4","2","3","2","2","1","4","2","2","3","2","2","2","3","1","2","1","4","2","4","3","2","4","2","4"
"1869","Q4",-0.529813527654453,"2",-0.669805430844464,"3","Montevideo",13,"M","Tiempo Extendido","Urbano Quintil 4","3","1","4","1","5","3","1","2","2","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","3","1","3","1","3","1","2","1","1","1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","2","2","2","2","1","1","1","1","1","2","3","3","1","3","4","4","4","4","4","4","2","1","1","1","1","2","2","1","2","3","3","3","4","1","1","1","4","1","4","3","4","4","4","3","4","3","4","3","3","4","4","4","1","3","2","2","3","4","4","4","4","3","3","2","4","2","96","4","4","4","4","2","3","3","3","4","4","1","96","regularly","3","3","3","4","4","3","4","4","4","4","4","4","4","2","4","2","1","2","3","1","3","3","4","4","3","3","4","4","3","3","3","3","4","2","3","1","3","3","2","3","3","1","4","3","4","4","2","3","4","4"
"1870","Q4",0.439753675747045,"3",-0.471469564478362,"3","Interior",11,"M","PR-HP","Urbano Quintil 5","4","1","2","1","3","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4","1","96","5","3","3","3","1","1","3","1","3","2","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","1","3","2","1","1","2","2","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","1","2","1","1","2","96","4","4","4","4","4","4","4","4","4","4","1","96","little (every week is a few days away)","4","4","4","4","4","4","4","4","3","4","4","3","4","3","4","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","2","3","1","1","1","1","4","4","4","4","4","4","4","4"
"1872","Q5",0.0812576494511251,"3",-0.613407029683857,"3","Interior",12,"M","PRIVADO","PRIVADO","1","1","3","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","2","1","96","5","3","3","1","1","1","3","1","2","1","2","96","96","96","96","96","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","2","1","1","2","2","1","1","1","1","2","1","3","1","4","2","3","2","1","3","3","4","2","1","1","1","2","2","2","1","2","4","4","4","4","1","4","4","4","3","4","3","4","4","4","4","4","4","4","4","4","2","4","4","2","4","3","1","1","4","4","3","4","3","4","4","3","2","96","3","4","3","2","2","4","4","3","1","4","2","2","regularly","4","4","4","4","4","4","4","4","4","4","4","1","4","1","2","1","1","1","1","2","4","3","4","3","4","4","3","4","2","4","3","4","4","4","2","3","4","2","4","4","4","2","3","4","4","4","4","3","3","4"
"1873","Q5",0.400841431924052,"3",0.630906963132382,"4","Montevideo",12,"M","UC","Urbano Quintil 5","4","1","3","1","4","2","1","1","2","2","2","2","2","2","1","1","1","2","1","1","2","3","1","96","2","1","4","2","1","4","2","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","1","1","1","1","1","1","2","1","2","2","1","2","2","3","2","2","1","3","3","2","3","4","4","2","1","1","2","2","2","2","1","2","2","2","4","4","1","2","1","1","1","2","3","2","3","3","2","3","4","4","3","4","4","4","4","1","1","2","1","1","1","3","3","3","1","4","3","2","2","96","4","4","1","2","2","2","2","1","1","1","1","96","very little (approx. once every 15 days)","3","4","3","4","4","4","4","3","2","2","3","2","3","2","2","1","1","1","3","3","3","2","2","2","2","3","2","1","2","1","1","2","2","1","2","2","2","2","3","2","3","1","2","2","1","4","3","1","1","1"
"1874","Q3",0.0387685255071821,"3",0.111796466949645,"4","Interior",11,"F","UC","Urbano Quintil 3","4","2","2","1","3","2","1","2","2","2","2","2","1","1","1","1","1","2","1","1","4","1","1","96","3","4","4","2","4","1","2","1","1","1","2","96","96","96","96","96","1","0","0","0","0","2","96","96","96","96","96","96","96","96","96","1","1","1","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","3","1","1","2","4","2","1","1","1","2","2","2","1","2","3","2","1","3","1","2","1","3","1","4","3","2","4","2","2","2","1","4","3","2","4","3","4","1","2","1","3","3","4","1","4","4","1","2","1","1","2","96","4","4","2","3","4","3","2","3","4","4","1","96","regularly","2","4","2","4","4","4","4","2","1","3","4","3","4","1","1","3","1","3","1","1","3","3","4","4","3","3","4","2","1","2","4","3","2","4","3","4","3","3","4","2","1","2","3","4","4","4","4","4","4","4"
"1875","Q3",-1.17474616436205,"2",-0.947198756099114,"2","Interior",11,"M","UC","Urbano Quintil 3","4","1","2","1","4","2","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","2","1","96","2","1","1","3","2","1","1","2","96","96","96","96","96","96","96","96","96","96","96","96","96","2","96","96","96","96","96","96","96","96","96","2","1","2","1","1","2","1","2","2","1","1","1","1","2","1","1","1","3","2","1","3","3","4","1","1","2","1","2","2","2","1","1","2","3","4","4","1","4","3","2","2","2","2","2","3","3","2","4","4","4","4","4","4","4","4","1","3","2","2","3","3","3","3","3","3","3","3","2","2","96","4","4","2","3","4","4","4","4","4","4","1","96","regularly","2","3","2","2","4","3","3","1","1","4","4","3","4","3","2","3","1","3","1","1","4","2","3","3","3","3","1","1","3","2","1","3","4","4","1","4","3","4","2","1","2","2","4","4","4","2","2","4","1","4"
"1876","Q3",-0.0538002608251291,"3",0.840854695807541,"5","Interior",12,"M","UC","Urbano Quintil 3","4","1","3","1","3","1","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","96","5","1","2","1","1","1","2","1","1","1","1","1","0","1","0","0","0","1","0","1","0","2","96","96","96","96","96","96","96","96","96","2","1","4","1","1","2","2","1","2","1","1","2","2","3","1","1","2","4","4","2","3","4","4","2","2","1","1","2","2","2","2","2","3","3","3","2","2","1","2","1","1","2","3","2","2","2","2","4","4","4","3","4","4","4","4","2","2","1","1","1","1","1","2","4","1","4","1","1","2","96","3","2","3","3","4","3","3","3","3","4","1","96","regularly","2","4","4","4","3","4","4","2","1","4","3","3","4","1","4","2","1","1","3","1","4","3","4","2","3","1","2","2","2","3","3","1","2","2","3","2","2","3","4","2","3","1","3","2","1","4","2","2","4","2"
"1877","Q3",0.597727581499154,"4",1.21279176939734,"5","Interior",11,"M","UC","Urbano Quintil 3","4","1","2","1","4","2","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","96","5","1","3","1","1","1","2","1","1","1","2","96","96","96","96","96","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","2","2","1","2","2","1","2","1","1","2","2","3","1","1","2","3","2","1","3","2","4","2","2","1","1","2","2","2","1","2","2","3","3","4","1","3","2","2","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","2","3","2","3","2","3","3","1","4","1","1","2","96","3","3","2","2","3","3","2","3","4","3","1","96","regularly","3","3","3","3","3","3","3","1","2","3","3","2","3","3","2","1","1","1","1","2","3","3","4","3","3","4","3","3","2","3","3","3","3","1","2","2","3","2","2","2","2","2","3","2","3","3","4","2","4","4"
"1879","Q3",-0.19183693980779,"3",-1.00751059718804,"2","Interior",12,"F","UC","Urbano Quintil 3","4","2","3","1","3","1","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","96","5","1","3","1","1","1","4","1","3","2","1","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","1","1","2","1","1","2","2","1","2","1","1","1","2","3","1","1","2","2","3","1","4","4","4","1","1","1","1","1","2","2","1","2","3","3","4","4","2","4","4","3","4","3","4","3","4","3","4","4","4","4","4","3","4","4","4","1","3","4","4","3","4","3","3","4","1","1","2","3","2","96","4","3","2","3","3","4","4","4","4","3","1","96","regularly","4","4","3","4","4","4","4","4","3","4","4","2","4","3","4","1","1","1","1","1","3","3","2","4","4","3","4","2","3","4","3","1","1","2","1","3","2","1","1","1","1","1","4","4","4","4","4","4","4","4"
"1880","Q3",-0.460469356256792,"2",0.882252483957356,"5","Interior",12,"F","UC","Urbano Quintil 3","4","2","3","1","4","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","96","5","1","1","3","1","1","4","1","1","2","1","0","1","1","0","0","0","1","1","1","0","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","4","4","3","4","3","2","1","3","4","4","1","1","1","1","2","2","2","2","2","4","4","3","4","1","4","4","2","4","2","3","4","4","2","2","4","3","4","3","2","4","4","3","1","2","2","2","3","4","2","4","4","2","3","2","2","2","96","3","3","4","4","4","4","3","4","4","4","1","96","regularly","2","4","3","4","4","3","4","2","1","3","4","3","4","3","4","2","3","4","3","1","4","4","4","4","3","4","3","2","3","4","4","2","3","3","4","3","4","2","1","4","4","3","4","3","4","4","4","2","4","4"
"1883","Q3",1.48769946881537,"4",-0.0894511321629671,"4","Interior",12,"M","UC","Urbano Quintil 3","4","1","2","1","4","2","1","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","1","96","5","1","3","1","4","1","2","1","1","2","2","96","96","96","96","96","1","0","0","0","0","1","0","1","0","0","1","0","0","0","1","1","1","2","2","2","2","2","1","2","2","1","2","2","3","2","4","3","2","2","1","3","3","4","2","1","1","1","2","2","2","2","2","4","4","4","4","1","3","1","3","4","3","4","3","4","3","3","4","4","4","4","4","4","4","4","1","2","1","2","3","2","2","4","4","1","4","1","3","2","96","3","4","4","4","4","4","4","4","4","4","2","1","regularly","4","4","4","4","3","4","4","4","4","4","4","2","4","1","2","1","1","1","1","1","3","3","4","4","4","3","4","3","3","3","4","4","4","4","4","4","2","2","4","1","3","1","4","4","4","4","4","4","3","4"
"1884","Q3",0.138313303775254,"3",1.71511403623041,"6","Interior",12,"M","UC","Urbano Quintil 3","4","1","3","1","3","1","1","1","2","2","2","2","2","2","2","1","2","1","1","1","2","1","1","96","3","3","3","1","2","4","2","1","3","2","1","1","1","1","0","0","0","1","1","1","1","1","0","0","1","0","1","0","0","0","1","1","1","2","1","1","2","2","1","1","1","2","1","2","2","1","2","4","2","3","1","2","3","4","2","1","1","1","1","2","2","1","2","2","2","1","4","1","3","4","4","2","2","3","4","3","4","2","3","2","3","1","3","4","2","3","1","2","2","3","2","4","2","4","3","2","3","1","3","1","1","2","4","2","4","2","2","1","3","2","2","1","96","regularly","2","2","3","3","4","2","4","2","3","4","3","2","4","3","3","2","2","3","2","1","4","3","2","3","4","3","3","4","3","2","3","2","3","3","2","3","3","3","4","3","3","2","3","4","4","3","3","1","3","3"
"1886","Q3",-0.0138426250220678,"3",-0.112499828621585,"4","Interior",12,"M","UC","Urbano Quintil 3","4","1","3","2","5","1","1","1","1","2","1","1","2","1","1","1","1","2","1","1","1","1","1","96","5","3","1","3","1","1","4","1","1","2","2","96","96","96","96","96","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","4","2","4","1","4","4","4","2","1","2","1","2","1","1","2","2","4","4","4","4","1","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","2","2","2","3","4","4","4","4","1","3","2","3","1","1","3","4","2","1","2","4","4","4","4","4","1","96","regularly","4","2","3","4","3","4","3","3","2","3","4","1","4","3","1","1","1","1","2","1","4","2","4","4","4","4","4","3","3","2","4","3","4","4","4","2","4","3","3","2","3","1","4","3","4","4","4","3","4","4"
"1887","Q3",0.205917078643034,"3",-0.581868663926822,"3","Interior",12,"M","UC","Urbano Quintil 3","4","1","3","3","5","3","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","96","5","1","3","2","1","1","3","2","96","96","96","96","96","96","96","96","96","96","96","96","96","2","96","96","96","96","96","96","96","96","96","1","1","2","1","2","2","2","1","2","1","1","1","2","1","1","2","3","1","4","1","4","4","4","2","1","2","1","2","2","2","1","2","2","1","2","4","1","4","3","4","3","2","4","2","4","2","2","4","4","4","4","4","4","4","4","1","2","2","4","2","3","3","4","4","1","2","3","1","1","1","2","3","1","3","4","3","3","4","4","1","1","96","regularly","4","3","2","3","4","4","4","4","4","3","4","2","4","3","1","1","1","1","1","1","3","2","4","3","4","4","4","2","3","3","4","1","3","4","3","1","1","3","2","1","2","1","4","4","4","4","4","3","3","3"
"1888","Q3",-0.507389053354976,"2",0.126095029527686,"4","Interior",12,"M","UC","Urbano Quintil 3","4","1","3","1","5","3","1","2","2","2","1","1","2","2","1","1","1","2","1","1","2","1","1","96","5","1","3","3","2","1","3","1","2","2","2","96","96","96","96","96","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","2","2","2","2","1","1","2","2","2","1","4","4","3","3","1","2","1","3","4","4","2","2","1","1","2","2","2","2","2","1","1","1","4","3","3","1","4","3","2","1","2","3","2","3","2","4","4","4","3","4","3","3","1","3","3","3","3","3","2","3","3","2","4","3","3","1","1","3","3","3","3","3","4","4","4","4","4","1","96","regularly","3","2","3","3","4","3","4","4","3","4","3","3","4","4","4","1","2","3","3","1","3","3","4","4","4","3","4","4","3","3","1","3","2","2","2","3","4","4","4","3","3","1","4","3","4","4","3","4","4","4"
